pl_name,sy_snum,pl_orbper,pl_rade,pl_tranmid,ttv_flag,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,ra,dec,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_kmag,sy_umag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_kepmag,target
EPIC 201238110 b,1.0,28.1656,1.87,2456852.6572,0.0,0.2109,2.4724,4138.882,0.4811999999999999,0.41,179.70583333333337,-3.389461111111112,-25.1078,-12.4418,159.259,6.25088,17.881,11.933,19.7224,11.8,11.719,11.961,8.891,15.2612,14.904,1
EPIC 201247497.01,1.0,2.75391,3.78,2456810.9031,0.0,0.44888,1.0296,3918.0,0.436,0.7097422,177.94645833333334,-3.2460194444444443,-20.9618,10.9812,793.131,1.23644,18.876,13.748,20.5699,13.734,13.669,12.497,8.804,16.7664,16.77,0
EPIC 201257461.01,1.0,50.27762,209.52,2456828.3735,0.0,1.2228,7.3464,5141.0,10.96,0.936,178.161125,-3.0949083333333336,-7.91616,-1.91747,829.248,1.1772,12.883,9.368,15.4938,9.284,9.386,9.284,8.319,11.5044,11.511,2
EPIC 201264302.01,1.0,0.212194,0.77,2456812.40015,0.0,0.0830399999999999,1.7696,3299.0,0.26,0.3616028,169.597125,-2.9913972222222225,-166.05,52.5138,71.8937,13.8807,16.351,10.357,18.1725,10.233,10.108,9.973,8.449,13.8198,13.879,0
EPIC 201299088.01,1.0,21.204739,9.11013939,2457600.34291,0.0,0.63378,3.75632,5154.0,1.761722,0.9194,182.204625,-2.464613888888889,-17.2604,-21.0775,573.991,1.71487,12.866,9.8,14.8889,9.749,9.81,9.789,8.261,11.7673,11.751,0
EPIC 201324549.01,1.0,2.519334,3.91,2456809.99353,0.0,0.12628,1.54512,6283.0,1.45,0.976,171.23595833333331,-2.0851583333333337,7.0,3.0,476.884,2.155302,12.624,10.89,14.8406,10.88,10.906,11.015,9.024,12.1049,12.146,2
EPIC 201352100.01,1.0,13.383629,2.87289326,2457594.79204,0.0,0.34442,2.8629040000000003,5216.0,0.815235,0.8565082,184.035125,-1.673761111111111,-36.3597,-18.3732,194.195,5.12323,13.824,10.708,15.8354,10.653,10.697,10.607,8.075,12.6813,12.798,0
EPIC 201427007 b,1.0,0.72091,1.5,2457625.7943,0.0,0.20312,4.29232,5633.0,0.94,0.9999999999999998,184.60212500000003,-0.5512888888888889,-17.3534,3.88685,706.391,1.38704,15.081,12.581,16.4425,12.534,12.57,11.181,8.468,14.147,14.219,1
EPIC 201441872.01,1.0,4.441258,1.12422498,2456812.87129,0.0,0.7300880000000001,2.90304,5450.0,0.833852,0.93,173.60025,-0.3345694444444444,-39.409,2.31611,243.084,4.08569,12.294,10.484,14.5835,9.796,9.841,9.82,8.68,11.9904,12.088,0
EPIC 201456770.01,1.0,8.006875,2.384,2457586.039304,0.0,0.3330999999999999,2.5,5403.0,0.846,0.904,185.69741666666667,-0.1218833333333333,-9.3668,3.95999,511.581,1.92613,14.941,12.283,16.2225,12.265,12.28,11.619,9.003,13.9771,13.973,0
EPIC 201497682 b,1.0,2.13174,0.692,2456850.0263,0.0,0.10622,2.7364,4605.429999999999,0.6959264,0.78,168.93666666666667,0.4880611111111111,11.1495,-12.0384,253.026,3.92339,15.148,11.438,17.4868,11.376,11.449,11.354,8.878,13.7368,13.74,1
EPIC 201516974.01,1.0,36.7099,57.062,2456819.8056,0.0,0.9408999999999998,17.664,5069.12,5.33871,0.936,174.3145,0.7829861111111112,-5.19921,-37.5655,792.41,1.23319,12.496,9.270001,16.3078,9.162,9.233,9.181,8.526,11.2468,11.238,0
EPIC 201541160.01,1.0,15.695142,2.028,2457921.463551,0.0,0.1065999999999999,2.9,4270.0,0.625,0.743,163.05908333333335,1.154786111111111,14.8112,-156.657,197.438,5.03609,15.382,11.226,17.1301,11.158,11.199,11.025,8.755,13.7783,13.794,0
EPIC 201565013.01,1.0,8.63829,6.81,2456811.42754,0.0,1.0825400000000005,1.53192,3960.0,0.438,0.8523422,176.99208333333334,1.5102777777777778,-21.7589,1.17243,1338.23,0.699965,19.422,14.084,20.7976,13.938,13.874,12.121,8.922,16.8969,16.907,0
EPIC 201565013.01,1.0,8.6381,15.99,2456811.4284,0.0,1.0825400000000005,2.063424,3987.0,0.5,0.8523422,176.99208333333334,1.5102777777777778,-21.7589,1.17243,1338.23,0.699965,19.422,14.084,20.7976,13.938,13.874,12.121,8.922,16.8969,16.907,0
EPIC 201569483.01,1.0,5.79687,27.81,2456813.3135,0.0,0.061348,2.0904,5192.0,0.79,0.8572,167.1712083333333,1.57745,-16.4155,-9.24433,233.55,4.25315,12.604,9.883,14.7825,9.841,9.873,9.781,8.956,11.7062,11.771,2
EPIC 201595106 b,1.0,0.877214,1.3,2457608.48962,0.0,0.89872,3.0028,5820.0,0.93,0.9739658,183.720375,1.9681694444444449,6.09669,-24.2468,232.1,4.28034,12.481,10.218,14.6843,10.158,10.218,10.086,8.424,11.6477,11.678,1
EPIC 201595106 b,1.0,0.87724,1.565,2457583.04429,0.0,0.59912,2.6604,5679.0,0.98,0.958,183.720375,1.9681694444444449,6.09669,-24.2468,232.1,4.28034,12.481,10.218,14.6843,10.158,10.218,10.086,8.424,11.6477,11.678,1
EPIC 201595106 b,1.0,0.877183,1.40575209,2457583.04538,0.0,0.5968600000000001,2.6604,5705.0,0.932487,0.9565658,183.720375,1.9681694444444449,6.09669,-24.2468,232.1,4.28034,12.481,10.218,14.6843,10.158,10.218,10.086,8.424,11.6477,11.678,1
EPIC 201606542.01,1.0,0.444372,1.22,2456817.74445,0.0,0.070328,2.17296,5540.0,0.82,0.8625999999999999,170.31179166666666,2.1443777777777777,-17.1498,-8.99703,254.555,3.9,12.997,10.191,14.9014,10.136,10.184,10.047,8.569,11.9479,11.923,0
EPIC 201615463 c,1.0,3.80464,1.22,2457621.2227,0.0,0.048504,3.2743200000000003,5700.2,1.108826,1.073,185.1880833333333,2.2823777777777776,-47.365,-14.8821,476.882,2.06877,12.64,10.637,14.8068,10.615,10.666,10.647,8.375,11.9456,11.964,1
EPIC 201617985.01,1.0,7.28161,1.78,2456812.6366,0.0,0.18416,1.8028,3742.0,0.49,0.5645749999999999,179.49149999999997,2.321497222222222,-34.6085,5.52725,126.182,7.89647,16.342,10.9,18.332,10.748,10.715,10.782,8.804,14.0514,14.11,0
EPIC 201617985.01,1.0,7.28116,1.79,2456812.641,0.0,0.18416,2.2108,3726.0,0.541438,0.537488,179.49149999999997,2.321497222222222,-34.6085,5.52725,126.182,7.89647,16.342,10.9,18.332,10.748,10.715,10.782,8.804,14.0514,14.11,0
EPIC 201617985.01,1.0,7.28138,17.0,2456812.6399,0.0,0.17696,1.32,3784.0,0.399,0.5705749999999999,179.49149999999997,2.321497222222222,-34.6085,5.52725,126.182,7.89647,16.342,10.9,18.332,10.748,10.715,10.782,8.804,14.0514,14.11,0
EPIC 201631267.01,1.0,440.0,16.3,2456829.674,0.0,0.94056,3.16896,4600.0,0.85,1.1468425999999998,173.69641666666666,2.527066666666667,-22.791,0.125909,1217.96,0.785599,14.009,10.734,15.8143,10.677,10.751,10.495,8.772,12.771,12.78,0
EPIC 201635132.01,1.0,30.0,22.8,2456826.985,0.0,0.726948,2.8728,3400.0,0.89,0.4536028,170.13275000000002,2.5869194444444448,-50.3466,-18.3711,229.954,4.32046,17.258,12.111,19.3005,11.958,11.906,11.537,9.0,15.0949,15.143,0
EPIC 201639576.01,1.0,7.655533,2.328,2457910.083781,0.0,30.42462,3.0,5114.0,0.751,1.004,166.060375,2.655788888888889,12.735,-13.5006,495.707,1.98921,15.541,12.55,16.899,12.514,12.579,11.848,8.972,14.4478,14.495,0
EPIC 201649426.01,1.0,27.77045,32.79,2456821.3482,0.0,0.10224,2.44072,5086.0,8.15,0.74,177.234375,2.8075638888888887,27.2596,-12.5112,252.383,3.93349,14.575,10.941,16.2572,10.879,10.906,10.855,8.928001,13.2049,13.223,2
EPIC 201702477.01,1.0,40.7302,7.8,2456811.5691,0.0,0.94212,2.6496,5840.0,0.98,1.0592,175.24075,3.6815416666666665,-5.47852,-6.49615,835.716,1.16754,15.272,12.766,16.3124,12.814,12.84,11.756,8.576,14.391,14.43,0
